Título;ISSN impresa;ISSN en linea;Área;Instituto
El cardo (Paraná. En línea);null;1851-1562;Ciencias sociales y humanidades;Facultad de Ciencias de la Educación, Universidad Nacional de Entre Ríos
El hilo de la fábula;1667-7900;2362-5651;Ciencias sociales y humanidades;null
El hornero (Buenos Aires);0073-3407;1850-4884;Ciencias biológicas y de la salud;null
El oído pensante;null;2250-1776;Ciencias sociales y humanidades;null
El taco en la brea;null;2362-4191;Ciencias sociales y humanidades;Facultad de Humanidades y Ciencias Sociales, Universidad Nacional del Litoral 
Enfoques (Libertador San Martín);1514-6006;1669-2721;Ciencias sociales y humanidades;null
Ensayos económicos;0325-3937;1850-6046;Ciencias sociales y humanidades;null
Epistemología e historia de la ciencia;null;2525-1198;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades Universidad Nacional de Córdoba
Escritos contables y de administración (En línea);null;1853-2055;Ciencias sociales y humanidades;Universidad Nacional del Sur
Espacios en blanco. Serie indagaciones;1515-9485;2313-9927;Ciencias sociales y humanidades;null
Estudios de filosofía práctica e historia de las ideas;1515-7180;1851-9490;Ciencias sociales y humanidades;null
Estudios de historia de España;null;0328-0284;Ciencias sociales y humanidades;null
Estudios de teoría literaria;null;2313-9676;Ciencias sociales y humanidades;null
Estudios del ISHiR;null;2250-4397;Ciencias sociales y humanidades;null
Estudios del trabajo;0327-5744;2545-7756;Ciencias sociales y humanidades;null
Estudios digital;0328-185X;1852-1568;Ciencias sociales y humanidades;null
Estudios económicos (En línea);0425-368X;2525-1295;Ciencias sociales y humanidades;null
Estudios rurales;null;2250-4001;Ciencias sociales y humanidades;Universidad Nacional de Quilmes 
Estudios sociales (Santa Fe);0327-4934;2250-6950;Ciencias sociales y humanidades;null
Estudios sociales contemporáneos (En línea);null;2451-5965;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo
Estudios sociales del estado;null;2422-7803;Ciencias sociales y humanidades;Centro de Investigaciones Sociales, Consejo Nacional de Investigaciones Científicas y Tecnológicas
Estudios socioterritoriales;1515-6206;1853-4392;Ciencias sociales y humanidades;null
Estudios y perspectivas en turismo;0327-5841;1851-1732;Ciencias sociales y humanidades;null
Etcétera (Córdoba);null;2618-4281;Ciencias sociales y humanidades;Universidad Nacional de Córdoba
Etica & cine;2250-5660;2250-5415;Ciencias sociales y humanidades;null
Etnografías contemporáneas (En línea);1669-2632;2451-8050;Ciencias sociales y humanidades;null
Evaluar (En línea);null;1667-4545;Ciencias sociales y humanidades;Facultad de Psicología, Universidad Nacional de Córdoba
FAVE. Sección ciencias agrarias;1666-7719;2346-9129;Ciencias agrarias, ingeniería y materiales;null
FAVE. Sección ciencias veterinarias;1666-938X;2362-5589;Ciencias biológicas y de la salud;null
Filología;0071-495X;2422-6009;Ciencias sociales y humanidades;null
Folia histórica del nordeste;0325-8238;2525-1627;Ciencias sociales y humanidades;null
Geoacta;0326-7237;1852-7744;Ciencias exactas y naturales ;null
Geograficando (La Plata);1850-1885;2346-898X;Ciencias sociales y humanidades;null
Grado Cero;null;2683-9784;Ciencias sociales y humanidades;Universidad de Ciencias Empresariales y Sociales
H-industri@ (Ciudad Autónoma de Buenos Aires);null;1853-550X;Ciencias sociales y humanidades;null
Hematología (En línea);null;2250-8309;Ciencias biológicas y de la salud;Sociedad Argentina de Hematología
Historia de la educación anuario;1669-8568;2313-9277;Ciencias sociales y humanidades;null
