Título;ISSN impresa;ISSN en linea;Instituto;URL
LATIN AMERICAN JOURNAL OF PHARMACY;0326-2383;2362-3853;COLEGIO FARMACEUTICOS PROVINCIA DE BUENOS AIRES , DEPT CIENTIFICO, CALLE 5 NO 966, LA PLATA, ARGENTINA, 00000;
LILLOA;0075-9481;2346-9641;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
MAGALLANICA-REVISTA DE HISTORIA MODERNA;2422-779X;;UNIV NACIONAL MAR DEL PLATA, FAC HUMANIDADES , Funes 3350, Mar del Plata, Argentina, Buenos Aires, 7600;
MARINE AND FISHERY SCIENCES;2683-7595;2683-7951;INST NACIONAL INVESTIGACION & DESARROLLO PESQUERO - INIDEP , Paseo V. Ocampo Nro 1, Mar del Plata, Argentina, Buenos Aires, 7600;
MASTOZOOLOGIA NEOTROPICAL;0327-9383;1666-0536;SOC ARGENTINA PARA ESTUDIO MAMIFEROS-SAREM, IADIZA-INST , CC 507, MENDOZA, ARGENTINA, 00000;
MEDICINA-BUENOS AIRES;0025-7680;1669-9106;MEDICINA (BUENOS AIRES) , DONATO ALVAREZ 3150, BUENOS AIRES, ARGENTINA, 1427;
MULTEQUINA;1852-7329;;MULTEQUINA-LATIN AMER JOURNAL NATURAL RESOURCES , IADIZA CC 507, MENDOZA, ARGENTINA, 5500;
MUNDO AGRARIO;1515-5994;;UNIV NACL LA PLATA, FAC HUMANIDADES & CIENCIAS EDUCACION , CALLE 48 ENTRE 6 & 7, 1ER SUBSUELO, L APLATA, BUENOS AIRES, ARGENTINA, 1900;
NOTULAS FAUNISTICAS;0327-0017;;NOTULAS FAUNISTICAS , C/O JULIO RAFAEL CONTRERAS, EDITOR, CASILLA DE CORREO 26, CORRIENTES, ARGENTINA, 3400;
NUESTRAS AVES;0326-7725;;AVES ARGENTINAS, ASOC ORNITOLOGICA DEL PLATA , UNIV BUENOS AIRES, FAC CIENCIAS EXACTAS & NATURALES, DEPT ECOL, GENET & EVOL, PISO 4, PAB 2, BUENOS AIRES, ARGENTINA, 00000;
NUEVO PENSAMIENTO-REVISTA DE FILOSOFIA;1853-7596;;UNIV SALVADOR, FAC FILOSOFIA & LETRAS , LAVALLE, BUENOS AIRES, ARGENTINA, 00000;
OIDO PENSANTE;2250-7116;;UNIV BUENOS AIRES, FAC FILOSOFIA & LETRAS, INST CIENCIAS ANTROPOLOGICS , PUAN 470, 4TO, PISO OF 464, BUENOS AIRES, Argentina, 00000;
OPERA LILLOANA;0078-5245;;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
