Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Historia Regional;0329-8213;2469-0732;Instituto Superior del Profesorado N° 3 "Eduardo Lafferriére", Villa Constitución;Instituto Superior del Profesorado N° 3 "Eduardo Lafferriére", Villa Constitución;https://doaj.org/toc/2469-0732
Boletín de la Sociedad Argentina de Botánica;0373-580X;1851-2372;Sociedad Argentina de Botánica;Sociedad Argentina de Botánica;https://doaj.org/toc/1851-2372
Revista Latinoamericana de Antropología del Trabajo;;2591-2755;;Centro de Estudios e Investigaciones Laborales (CEIL-CONICET) , Centro de Investigación y Estudios Superiores en Antropología Social (CIESAS-CONACYT);https://doaj.org/toc/2591-2755
La Zaranda de Ideas;1669-7456;1853-1296;;Asociación de Arqueólogos Profesionales de la República Argentina;https://doaj.org/toc/1853-1296
Ciencia, Tecnología y Política;2618-2483;2618-3188;Universidad Nacional de la Plata. Cátedra Libre Ciencia, Política y Sociedad;Universidad Nacional de La Plata;https://doaj.org/toc/2618-3188
Journal of Computer Science and Technology;1666-6046;1666-6038;;Postgraduate Office, School of Computer Science, Universidad Nacional de La Plata;https://doaj.org/toc/1666-6038
ARQUISUR Revista;1853-2365;2250-4206;Asociación de Escuelas y Facultades de Arquitectura Públicas de América del Sur;Ediciones UNL;https://doaj.org/toc/2250-4206
Trabajos y Comunicaciones;;2346-8971;Facultad de Humanidades y Ciencias de la Educación, Departamento de Historia;Universidad Nacional de La Plata;https://doaj.org/toc/2346-8971
Estudios de Historia de España;0328-0284;2469-0961;;Universidad Católica Argentina;https://doaj.org/toc/2469-0961
IESPyC;;2525-1600;;Universidad San Pablo-Tucumán;https://doaj.org/toc/2525-1600
Cuadernos de la Facultad de Humanidades y Ciencias Sociales: Universidad Nacional de Jujuy;0327-1471;1668-8104;FACULTAD DE HUMANIDADES Y CIENCIAS SOCIALES - UNIVERSIDAD NACIONAL DE JUJUY;JOSE E DIPIERRI;https://doaj.org/toc/1668-8104
Revista de Estudios Marítimos y Sociales;1852-0669;2545-6237;Universidad Nacional de Mar del Plata;GESMar;https://doaj.org/toc/2545-6237
Revista Derecho y Salud;2591-3468;2591-3476;Universidad Blas Pascal;Universidad Blas Pascal;https://doaj.org/toc/2591-3476
Cuadernos de Literatura;0326-5102;2684-0499;Universidad Nacional del Nordeste;Instituto de Letras Alfredo Veiravé, Facultad de Humanidades, Universidad Nacional del Nordeste;https://doaj.org/toc/2684-0499
