Título;ISSN en linea;ISSN impresa;ISSN-L;Instituto;URL
Estudios rurales;2250-4001;;2250-4001;Centro de Estudios de la  Argentina Rural, Universidad Nacional de Quilmes;https://www.latindex.org/latindex/ficha/19323
Estudios sociales;2250-6950;0327-4934;0327-4934;Universidad Nacional del Litoral,  Departamento de Extensión Universitaria, Área de Ciencias Sociales, Universidad Nacional del Litoral, Universidad Nacional de Rosario, Centro Interdisciplinario de Estudios Sociales Argentinos y Latinoamericanos, Universidad Nacional del Comahue, Grupo de Estudios de Historia Social;https://www.latindex.org/latindex/ficha/8900
Estudios Sociales Contemporáneos;2451-5965;1850-6747;1850-6747;Instituto Multidisciplinario de Estudios Sociales Contemporáneos (IMESC);https://www.latindex.org/latindex/ficha/25954
Estudios sociales del estado;2422-7803;;2422-7803;Consejo Nacional de Investigaciones Científicas y Tecnicas , Centro de Investigaciones Sociales;https://www.latindex.org/latindex/ficha/23590
Estudios sociales del NOA;2362-2482;0329-8256;0329-8256;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto Interdiciplinario Tilcara;https://www.latindex.org/latindex/ficha/7222
Estudios socioterritoriales;1853-4392;;1515-6206;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Centro de Investigaciones Geográficas;https://www.latindex.org/latindex/ficha/19325
Etcétera;2618-4281;;2618-4281;Universidad Nacional de Córdoba. Centro de Investigaciones de la Facultad de Filosofía y Humanidades;https://www.latindex.org/latindex/ficha/24504
Ética & cine;2250-5415;2250-5660;1853-6247;Consejo Nacional de Investigaciones Científicas y Técnicas, Centro de Investigaciones y Estudios sobre la Cultura y la Sociedad, Universidad Nacional de Córdoba, Programa de Estudios Psicoanalíticos. Ética, Discurso y Subjetividad,;https://www.latindex.org/latindex/ficha/7340
Ética y discurso.;2525-1090;;2525-1090;Qellqasqa Editorial;https://www.latindex.org/latindex/ficha/26818
Etnografías contemporáneas;2451-8050;;1669-2362;UNSAM Edita;https://www.latindex.org/latindex/ficha/23001
Evaluar;1667-4545;;1515-1867;Laboratorio de Evaluación Psicológica y Educativa. Facultad de Psicología. Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/23016
Exlibris;2314-3894;;2314-3894;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Departamento de Letras.;https://www.latindex.org/latindex/ficha/23793
Extensión en red;1852-9569;;1852-9569;Universidad Nacional de La Plata. Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/22993
FACES. Facultad de Ciencias Económicas y Sociales;1852-6535;;0328-4050;Universidad Nacional de Mar del Plata, Facultad de Ciencias Económicas y Sociales;https://www.latindex.org/latindex/ficha/7470
FAVE. Sección Ciencias agrarias;2346-9129;1666-7719;1666-7719;Universidad Nacional del Litoral, Facultad de Ciencias Agrarias;https://www.latindex.org/latindex/ficha/7517
FAVE. Sección Ciencias Veterinarias;2362-5589;;1666-938X;Universidad Nacional del Litoral (Ediciones UNL);https://www.latindex.org/latindex/ficha/24249
Filología;2422-6009;;0071-495X;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Filología y Literaturas Hispánicas "Dr. Amado Alonso";https://www.latindex.org/latindex/ficha/24951
Folia histórica del Nordeste;2525-1627;;0325-8238;Instituto de Investigaciones Geohistóricas, Consejo Nacional de Investigaciones Científicas y Técnicas,  Universidad Nacional del Nordeste;https://www.latindex.org/latindex/ficha/23000
Fonoaudiológica.;1668-9402;;0326-7640;ASALFA;https://www.latindex.org/latindex/ficha/26494
Fuegia.;2618-2335;;2618-2335;Instituto de Cultura, Sociedad y Estado, Universidad Nacional de Tierra del Fuego;https://www.latindex.org/latindex/ficha/26812
Geográfica digital;1668-5180;;1668-5180;Instituto de Geografía, Facultad de Humanidades, Universidad Nacional del Nordeste;https://www.latindex.org/latindex/ficha/7940
Geograficando;2346-898X;1850-1885;1850-1885;Universidad Nacional de la Plata. Facultad de Humanidades y Ciencias de la Educación. Departamento de Geografía;https://www.latindex.org/latindex/ficha/7941
Grado Cero.;2683-9784;;2683-9784;EditUCES;https://www.latindex.org/latindex/ficha/26997
Gramma;1850-0161;;1850-0153;Escuela de Letras, Facultad de Filosofía, Historia y Letras, Universidad del Salvador;https://www.latindex.org/latindex/ficha/19364
Hematología;2250-8309;;0329-0379;Sociedad Argentina de Hematología;https://www.latindex.org/latindex/ficha/21193
Heterotopías.;2618-2726;;2618-2726;Escuela de Letras. Facultad de Filosofía y Humanidades. Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/26007
Hipertextos;2314-3924;;2314-3916;Universidad Maimónides, Editorial Científica y Literaria;https://www.latindex.org/latindex/ficha/23453
Historia & Guerra.;2796-8650;;2796-8650;Facultad de Filosofía y Letras de la Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/27140
Historia de la educación anuario.;2313-9277;;1669-8568;SAIEHE;https://www.latindex.org/latindex/ficha/19635
Historia regional;2469-0732;0329-8213;0329-8213;Superior del Profesorado Nro. 3 Eduardo Lafferrière, Centro de Investigaciones, Sección Historia;https://www.latindex.org/latindex/ficha/8274
Hologramática;1668-5024;;1668-5024;Universidad Nacional de Lomas de Zamora, Facultad de Ciencias Sociales;https://www.latindex.org/latindex/ficha/8329
Horticultura argentina;1851-9342;0327-3431;0327-3431;Asociación Argentina de Horticultura;https://www.latindex.org/latindex/ficha/8360
Huellas;2362-5643;;0329-0573;Universidad Nacional de La Pampa,  Facultad de Ciencias Humanas, Instituto de Geografía;https://www.latindex.org/latindex/ficha/22093
Ideas;2451-6910;;2451-6910;Red Argentina de Grupos de Investigación en Filosofía;https://www.latindex.org/latindex/ficha/23154
Ideas;2469-0899;2469-1178;2469-0899;Universidad del Salvador. Instituto de Investigaciones en Lenguas Modernas;https://www.latindex.org/latindex/ficha/22561
IDYM- Investigaciones en danza y movimiento.;2683-9318;;2683-9318;Departamento de Artes del Movimiento (Universidad Nacional de las Artes);https://www.latindex.org/latindex/ficha/25751
Improntas de la historia y la comunicación;2469-0457;;2469-0457;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/23412
Incipit;2683-9199;;0326-0941;Instituto de Investigaciones Bibliográficas y Critica Textual (IIBICRIT);https://www.latindex.org/latindex/ficha/28585
Información, cultura y sociedad;1851-1740;1514-8327;1514-8327;Universidad de Buenos Aires, Facultad de Filosofía y Letras,  Instituto de Investigaciones Bibliotecológicas (INIBI);https://www.latindex.org/latindex/ficha/8723
Ingenio tecnológico.;2618-4931;;2618-4931;Universidad Tecnológica Nacional. Facultad Regional La Plata.;https://www.latindex.org/latindex/ficha/26121
INNOVA UNTREF.;2618-1894;;2618-1894;Universidad de Tres de Febrero (UNTREF);https://www.latindex.org/latindex/ficha/25428
Integración y conocimiento;2347-0658;;2313-9080;Núcleo de Estudios e Investigaciones en Educación Superior del MERCOSUR;https://www.latindex.org/latindex/ficha/21980
Inter litteras;2683-9695;;2683-9695;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/28218
Interdisciplinaria;1668-7027;0325-8203;0325-8203;Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines,  Centro Argentino de Información Científica y Tecnológica;https://www.latindex.org/latindex/ficha/9108
Intersecciones en antropología;1850-373X;1666-2105;1666-2105;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Sociales;https://www.latindex.org/latindex/ficha/9147
Intersecciones en comunicación;2250-4184;1515-2332;1515-2332;Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Sociales;https://www.latindex.org/latindex/ficha/9145
Intersticios;2250-6543;;2250-6543;Universidad Nacional de Córdoba. Facultad de Filosofía y Humanidades. Cátedra de Filosofía Argentina y Latinoamericana.;https://www.latindex.org/latindex/ficha/22091
INVESTIGA +.;2618-4370;;2618-4370;Universidad Provincial de Córdoba;https://www.latindex.org/latindex/ficha/27000
Investigación, ciencia y universidad.;2525-1783;;2525-1783;Editorial UMaza (Editorial de la universidad Juan Agustín Maza);https://www.latindex.org/latindex/ficha/26349
Investigaciones y ensayos.;2545-7055;;0539-242X;Academia Nacional de la Historia;https://www.latindex.org/latindex/ficha/28083
Investigando en Psicología.;2796-9002;;1515-2138;Facultad de Psicología. Universidad Nacional de Tucumán.;https://www.latindex.org/latindex/ficha/25529
Itinerantes;2525-2178;;2250-5377;Editorial UNSTA;https://www.latindex.org/latindex/ficha/23489
Itinerarios educativos;2362-5554;;1850-3853;Ediciones UNL;https://www.latindex.org/latindex/ficha/23940
Journal de ciencias sociales;2362-194X;;2362-194X;Universidad de Palermo;https://www.latindex.org/latindex/ficha/21224
Journal of computer science and technology;1666-6038;1666-6046;null;Universidad Nacional de La Plata, Facultad de Informática;https://www.latindex.org/latindex/ficha/9458
La aljaba;1669-5704;0328-6169;0328-6169;Universidad Nacional de La Pampa, Universidad Nacional del Comahue, Universidad Nacional de Luján;https://www.latindex.org/latindex/ficha/9611
La rivada;2347-1085;;2347-1085;Secretaría de Investigación y Posgrado. Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Misiones.;https://www.latindex.org/latindex/ficha/23290
La zaranda de ideas;1853-1296;;1669-7456;Asociación de Arqueólogos Profesionales de la República Argentina;https://www.latindex.org/latindex/ficha/6488
Latin american journal of sedimentology and basin analysis;1851-4979;1669-7316;1669-7316;Asociación Argentina de Sedimentología;https://www.latindex.org/latindex/ficha/9761
Latitud sur.;2683-9326;1850-3659;1850-3659;Universidad de Buenos Aires, Facultad de Ciencias Económicas, Centro de Investigación en Estudios Latinoamericanos para el Desarrollo y la Integración;https://www.latindex.org/latindex/ficha/26912
Lavboratorio;1852-4435;;1515-6370;Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/9774
Lecturas educación física y deportes;1514-3465;;1514-3465;T. Guterman;https://www.latindex.org/latindex/ficha/9793
Letras.;2683-7897;;0326-3363;Facultad de Filosofía y Letras - UCA;https://www.latindex.org/latindex/ficha/25656
Lilloa;2346-9641;;0075-9481;Fundación Miguel Lillo;https://www.latindex.org/latindex/ficha/20502
Lúdicamente;2250-723X;;2250-723X;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/20594
Magallanica. Revista de historia moderna;2422-779X;;2422-779X;Editorial de la Universidad de Mar del Plata (EUDEM);https://www.latindex.org/latindex/ficha/22899
Marine and fishery sciences.;2683-7951;;2683-7595;INIDEP;https://www.latindex.org/latindex/ficha/26034
Masquedós;2469-2158;2469-214X;2469-214X;Secretaría de Extensión de la Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.latindex.org/latindex/ficha/23458
Memoria americana;1851-3751;0327-5752;0327-5752;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/10335
Memorias, escritos y trabajos desde América Latina;2451-6643;;2451-6384;Papel Cosido;https://www.latindex.org/latindex/ficha/22990
Metatheoria;1853-2330;;1853-2330;Universidad Nacional de Tres de Febrero;https://www.latindex.org/latindex/ficha/20048
Metaverse Basic and Applied Research;2953-4577;;2953-4577;Editorial Salud, Ciencia y Tecnología;https://www.latindex.org/latindex/ficha/27930
Millcayac;2362-616X;1668-060X;1668-060X;Universidad Nacional de Cuyo. Facultad de Ciencias Políticas y Sociales. Centro de Publicaciones;https://www.latindex.org/latindex/ficha/20826
Miríada;2250-4621;1851-9431;1851-9431;Universidad del Salvador. Instituto de Investigaciones en Ciencias Sociales;https://www.latindex.org/latindex/ficha/10563
Mora;1853-001X;0328-8773;0328-8773;Instituto Interdisciplinario de Estudios de Género, Facultad de Filosofía y Letras, Universid,d de Buenos Aires;https://www.latindex.org/latindex/ficha/10676
Mundo agrario;1515-5994;;1515-5994;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación;https://www.latindex.org/latindex/ficha/10725
Mundo de antes;2362-325X;1514-982X;1514-982X;Universidad Nacional de Tucumán. Facultad de Ciencias Naturales e Instituto Miguel Lillo. Instituto de Arqueología y Museo;https://www.latindex.org/latindex/ficha/10730
Ñeatá.;2718-7268;;2718-7268;Universidad Nacional del Nordeste;https://www.latindex.org/latindex/ficha/27546
Nimio;2469-1879;;2408-4093;Papel Cosido;https://www.latindex.org/latindex/ficha/22992
Nuevo itinerario;1850-3578;;1850-3578;Universidad Nacional del Nordeste. Facultad de Humanidades. Instituto de Filosofía;https://www.latindex.org/latindex/ficha/11053
Nuevo pensamiento;1853-7596;;1853-7596;Universidad del Salvador, Facultad de Filosofía, Historia, Letras y Estudios Orientales, Instituto de Investigaciones Filosóficas;https://www.latindex.org/latindex/ficha/19537
Observatorio latinoamericano;1853-2713;;1853-2713;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Estudios de América Latina y el Caribe;https://www.latindex.org/latindex/ficha/20039
Octante;2525-0914;;2525-0914;Papel Cosido;https://www.latindex.org/latindex/ficha/23608
Odisea;2408-445X;;2408-445X;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani.;https://www.latindex.org/latindex/ficha/22959
Olivar;1852-4478;1515-1115;1515-1115;Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/11218
OMNIA.;2618-4699;;2618-4680;Universidad Católica de Salta;https://www.latindex.org/latindex/ficha/25418
Orbis tertius;1851-7811;0328-8188;0328-8188;Centro de Estudios de Teoría y Crítica, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/11271
Orientación y sociedad;1851-8893;1515-6877;1515-6877;Universidad Nacional de La Plata, Facultad de Psicología;https://www.latindex.org/latindex/ficha/11290
Otra economía;1851-4715;;1851-4715;Universidad Nacional General Sarmiento;https://www.latindex.org/latindex/ficha/11315
Páginas;1851-992X;;1851-992X;Universidad Nacional de Rosario. Facultad de Humanidades y Artes. Escuela de Historia;https://www.latindex.org/latindex/ficha/11343
Páginas de filosofía;1853-7960;;0327-5108;Universidad Nacional del Comahue, Facultad de Humanidades, Departamento de Filosofía;https://www.latindex.org/latindex/ficha/19547
Palabra clave;1853-9912;;1666-2938;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Departamento de Bibliotecología;https://www.latindex.org/latindex/ficha/11365
Papeles de trabajo;1852-4508;;0327-6147;Centro de Estudios Interdisciplinarios de Ciencias Etnoligüísticas y Antropológico-Sociales;https://www.latindex.org/latindex/ficha/11441
Papeles del Centro de Investigaciones de la Facultad de Ciencias Jurídicas y Sociales;2591-2852;;1853-2845;Editorial UNL;https://www.latindex.org/latindex/ficha/23449
Paraguay desde las ciencias sociales;2314-1638;;2314-1638;Grupo de Estudios Sociales sobre Paraguay, Facultad de Ciencias Sociales, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/20694
Párrafos geográficos.;1853-9424;;1666-5783;IGEOPAT;https://www.latindex.org/latindex/ficha/26001
Pasado abierto;2451-6961;;2451-6961;Universidad Nacional de Mar del Plata;https://www.latindex.org/latindex/ficha/23124
Pathos.;2313-9390;;2313-9390;Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/27559
Patristica et mediaevalia.;2683-9636;;0325-2280;Publicaciones Filosofía y Letras - UBA;https://www.latindex.org/latindex/ficha/25647
Pensum;2469-0724;;2469-0724;Universidad Nacional de Córdoba, Facultad de Arquitectura, Urbanismo y Diseño;https://www.latindex.org/latindex/ficha/23886
Perspectiva Revista de Ciencias Sociales;2525-1112;;2525-1112;Perspectivas Editora Sociedad de Hecho;https://www.latindex.org/latindex/ficha/23796
Perspectivas de las ciencias económicas y jurídicas;2545-8566;2250-4087;2250-4087;Universidad Nacional de la Pampa, Facultad de Ciencias Económicas y Jurídicas;https://www.latindex.org/latindex/ficha/2609
Philosophia;2313-9528;0328-9672;0328-9672;Instituto de Filosofía;https://www.latindex.org/latindex/ficha/11788
Physiological mini-reviews;1669-5410;;1669-5402;Sociedad Argentina de Fisiología. Centro de Investigaciones Cardiovasculares. Facultad de Medicina. Universidad Nacional de La Plata.;https://www.latindex.org/latindex/ficha/22078
Pirqas.;2684-0332;;2684-0332;Instituto Superior de Formación Docente y Técnica 9-003 "Normal Superior";https://www.latindex.org/latindex/ficha/27013
Plurentes;1853-6212;;1853-6212;Bachillerato de Bellas Artes "Prof. Francisco A. de Santo". Universidad Naiconal de La Plata;https://www.latindex.org/latindex/ficha/19569
Población de Buenos Aires;2953-3538;;1668-5458;Dirección General de Estadísitica y Censos, Ministerio de Hacienda y Finanzas, Gobierno de la Ciudad Autónoma de Buenos Aires;https://www.latindex.org/latindex/ficha/27644
Población y sociedad;1852-8562;0328-3445;0328-3445;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas;https://www.latindex.org/latindex/ficha/11870
Polhis;1853-7723;;1853-7723;Programa Buenos Aires de Historia Política del Siglo XX;https://www.latindex.org/latindex/ficha/11889
Políticas de la memoria;2683-7234;;1668-4885;Centro de Documentación e Investigación de la Cultura de Izquierda (CeDInCI);https://www.latindex.org/latindex/ficha/24763
Práctica arqueológica.;2618-2874;;2618-2874;Asociación de Arqueólogos Profesionales de la República Argentina;https://www.latindex.org/latindex/ficha/26937
Praxis educativa;2313-934X;;0328-9702;Universidad Nacional de La Pampa. Facultad de Ciencias Humanas. Instituto de Ciencias de la Educación para la Investigación Interdisciplinaria;https://www.latindex.org/latindex/ficha/25243
Prismas;1852-0499;1666-1508;1666-1508;Universidad Nacional de Quilmes, Centro de Estudios e Investigaciones, Programa de Historia Intelectual;https://www.latindex.org/latindex/ficha/12103
Prohistoria;1851-9504;1514-0032;1514-0032;Grupo Prohistoria;https://www.latindex.org/latindex/ficha/12168
Prometeica;1852-9488;;1852-9488;Emiliano Aldegani;https://www.latindex.org/latindex/ficha/23222
Proyección;1852-0006;;1667-0876;Instituto de Cartografía, Investigación y Formación para el Ordenamiento Territorial;https://www.latindex.org/latindex/ficha/19591
Proyecciones.;1853-6352;;1667-8400;Facultad Regional Buenos Aires, Universidad Tecnológica Nacional;https://www.latindex.org/latindex/ficha/27666
Proyecciones.;2618-5474;;1850-6542;Facultad de Ciencias Económicas. Universidad Nacional de La Plata. Argentina.;https://www.latindex.org/latindex/ficha/26018
Prudentia Iuris;2524-9525;;0326-2774;Editorial de la Universidad Católica Argentina;https://www.latindex.org/latindex/ficha/24124
Psicoanálisis en la universidad.;2683-9938;;2683-9938;Universidad Nacional de Rosario. Facultad de Psicología. Departamento de Psicoanálisis;https://www.latindex.org/latindex/ficha/26389
Psocial.;2422-619X;;2422-619X;Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/25649
Publicación Electrónica de la Asociación Paleontológica Argentina;2469-0228;;2469-0228;Asociación Paleontológica Argentina;https://www.latindex.org/latindex/ficha/23302
Publicaciones de la Asociación Argentina de Humanidades Digitales;2718-7470;;2718-7470;Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/27415
Publicar en antropología y ciencias sociales;2250-7671;0327-6627;0327-6627;Colegio de Graduados de Antropología de la República Argentina.;https://www.latindex.org/latindex/ficha/12457
Punto Sur.;2683-7404;;2683-7404;Instituto de Geografía Romualdo Ardissone. Facultad de Filosofía y Letras. Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/26738
Pymes, innovación y desarrollo;2344-9195;;2344-9195;Asociación Civil Red Pymes Mercosur;https://www.latindex.org/latindex/ficha/25820
Quid 16;2250-4060;;2250-4060;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani, Área de Estudios Urbanos;https://www.latindex.org/latindex/ficha/20891
Quinto sol;1851-2879;0329-2665;0329-2665;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas, Instituto de Estudios Socio-Históricos;https://www.latindex.org/latindex/ficha/12596
Quintú quimün;2591-541X;;2591-541X;Facultad de Lenguas;https://www.latindex.org/latindex/ficha/23798
RASAL lingüística;2618-3455;2250-7353;2250-7353;Sociedad Argentina de Lingüística;https://www.latindex.org/latindex/ficha/14835
Ratio Iuris;2347-0151;;2347-0143;Editorial de la Universidad de Ciencias Empresariales y Sociales (EditUCES);https://www.latindex.org/latindex/ficha/21798
Realidad económica.;2618-1711;;0325-1926;Instituto Argentino para el Desarrollo Económico (IADE);https://www.latindex.org/latindex/ficha/27114
Realidad, tendencias y desafíos en turismo;2545-6199;;1850-4787;Educo;https://www.latindex.org/latindex/ficha/24771
Recial;2718-658X;;1853-4112;Universidad Nacional de Córdoba. Facultad de Filosofía y Humanidades. Centro de Investigaciones. Area Letras.;https://www.latindex.org/latindex/ficha/19612
Registros;2250-8112;;1668-1576;Universidad Nacional de Mar del Plata, Facultad de Arquitectura, Urbanismo y Diseño;https://www.latindex.org/latindex/ficha/23304
Relaciones (Sociedad Argentina de Antropología);1852-1479;;0325-2221;Sociedad Argentina de Antropología;https://www.latindex.org/latindex/ficha/19618
República y derecho;2525-1937;;2525-1937;Facultad de Derecho Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/24121
Res Gesta;2525-0884;;0325-772X;Instituto de Historia Facultad de Derecho y Ciencias Sociales del Rosario;https://www.latindex.org/latindex/ficha/24767
Reseñas CeLeHis;2362-5031;;2362-5031;Centro de Letras Hispanoamericanas, Facultad de Humanidades, Universidad Nacional de Mar del Plata;https://www.latindex.org/latindex/ficha/23515
Reseñas de Enseñanza de la Historia.;2796-9304;;1668-8864;APEHUN;https://www.latindex.org/latindex/ficha/27474
Respirar;2953-3414;;null;Asociación Latinoamerica de Tórax (ALAT);https://www.latindex.org/latindex/ficha/27555
Rétor;1853-6034;;1853-6034;Asociación Argentina de Retórica;https://www.latindex.org/latindex/ficha/19622
REVCOM;2451-7836;;2451-7836;Red de Carreras de Comunicación Social y Periodismo de la Argentina (RedCom);https://www.latindex.org/latindex/ficha/23885
Revista ADENAG;1853-7367;;1853-7367;Asociación de Docentes Nacionales de Administración General.;https://www.latindex.org/latindex/ficha/19627
Revista administración pública y sociedad;2524-9568;;2524-9568;Instituto de Investigación y Formación en Administración Pública;https://www.latindex.org/latindex/ficha/24141
Revista archivos de medicina familiar y general;1852-656X;;1852-656X;Federación Argentina de Medicina Familiar y General;https://www.latindex.org/latindex/ficha/13122
Revista argentina de antropología biológica;1853-6387;1514-7991;1514-7991;Asociación de Antropología Biológica Argentina;https://www.latindex.org/latindex/ficha/13133
Revista argentina de ciencia política;2683-9032;0329-3092;0329-3092;Eudeba;https://www.latindex.org/latindex/ficha/13138
Revista argentina de cirugía;2250-639X;;0048-7600;Asociación Argentina de Cirugía;https://www.latindex.org/latindex/ficha/14312
Revista argentina de coloproctología;2683-7846;;0326-9620;Sociedad Argentina de Coloproctologia;https://www.latindex.org/latindex/ficha/24784
Revista argentina de derecho de la energía, hidrocarburos y minería.;2362-3195;;2362-3187;Editorial Abaco de Rodolfo Depalma S.R.L;https://www.latindex.org/latindex/ficha/26884
Revista argentina de dermatología;1851-300X;0325-2787;0325-2787;Asociación Argentina de Dermatología;https://www.latindex.org/latindex/ficha/13148
Revista argentina de educación superior;1852-8171;;1852-8171;Universidad Tres de Febrero;https://www.latindex.org/latindex/ficha/13153
Revista argentina de estudios de juventud;1852-4907;;1852-4907;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/13160
Revista Argentina de Investigación Educativa.;2796-7433;;2796-7433;Universidad Pedagógica Nacional;https://www.latindex.org/latindex/ficha/27184
Revista Argentina de Investigación Narrativa;2718-7519;;2718-7519;Facultad de Humanidades, Universidad Nacional de Mar del Plata;https://www.latindex.org/latindex/ficha/27879
Revista argentina de medicina;2618-4311;;1515-3460;Sociedad Argentina de Medicina;https://www.latindex.org/latindex/ficha/24131
Revista argentina de reumatología;2362-3675;0327-4411;0327-4411;Sociedad Argentina de Reumatología;https://www.latindex.org/latindex/ficha/20708
Revista argentina de salud pública;1853-810X;;1852-8724;Dirección de Investigación en Salud;https://www.latindex.org/latindex/ficha/13189
Revista argentina de terapia intensiva;2591-3387;;2591-3387;Sociedad Argentina de Terapia Intensiva;https://www.latindex.org/latindex/ficha/23668
Revista Asia América Latina;2524-9347;;2524-9347;EUDEBA;https://www.latindex.org/latindex/ficha/23432
Revista bíblica.;2683-7153;;0034-7078;Editorial Verbo Divino;https://www.latindex.org/latindex/ficha/25427
Revista chuy;2422-5932;;2422-5932;Universidad Nacional de Tres de Febrero. Instituto de Investigaciones en Arte y Cultura;https://www.latindex.org/latindex/ficha/22088
Revista científica;2525-0396;;2525-0396;Secretaría de Planeamiento, Facultad de Ingeniería, Universidad Nacional de Lomas de Zamora;https://www.latindex.org/latindex/ficha/24765
Revista Científica Arbitrada de la Fundación MenteClara;2469-0783;;2469-0783;Fundación MenteClara;https://www.latindex.org/latindex/ficha/23118
Revista Científica de la Facultad de Derecho y Ciencias Sociales y Políticas.;2953-4232;;2953-4232;Universidad Nacional del Nordeste.;https://www.latindex.org/latindex/ficha/27728
Revista Científica de UCES;2591-5266;;2591-5266;EDITUCES - Editorial de la Universidad de Ciencias Empresariales y Sociales (UCES);https://www.latindex.org/latindex/ficha/24692
Revista Científica y Técnica Agropecuaria, Agroindustrial y Ambiental.;2796-9142;;2796-9142;Facultad de Ciencias Agrarias Universidad Nacional de Lomas de Zamora;https://www.latindex.org/latindex/ficha/27233
Revista colección;1850-003X;;0328-7998;Pontificia Universidad Católica Argentina - Facultad de Ciencias Sociales - Departamento de Ciencias Políticas y Relaciones Internacionales;https://www.latindex.org/latindex/ficha/25228
Revista Comunicación, Política y Seguridad.;2683-7374;;2683-7374;Instituto de Investigaciones Gino Germani;https://www.latindex.org/latindex/ficha/26076
Revista conexiones.;2591-3344;;1850-535X;Universidad de la Cuenca del Plata;https://www.latindex.org/latindex/ficha/26040
Revista contenciosa;2347-0011;;2347-0011;Universidad Nacional del Litoral. Facultad de Humanidades y Ciencias. Centro de Estudios Sociales Interdisciplinarios del Litoral.;https://www.latindex.org/latindex/ficha/22092
Revista de arqueología histórica argentina y latinoamericana.;2344-9918;1851-3190;1851-3190;Asociación de Arqueólogos Profesionales de la República Argentina;https://www.latindex.org/latindex/ficha/26885
Revista de ciencia y tecnología;1851-7587;0329-8922;0329-8922;Universidad Nacional de Misiones. Facultad de Ciencias Exactas, Químicas y Naturales. Secretaria de Investigacion y Postgrado.;https://www.latindex.org/latindex/ficha/14059
Revista de ciencias empresariales;2468-9807;2468-9785;2468-9785;Cordoba Management School, Escuela de Negocios de la Universidad Blas Pascal;https://www.latindex.org/latindex/ficha/22580
Revista de Culturas y Literaturas Comparadas;2591-3883;;1852-4737;Facultad de Lenguas. Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/23878
Revista de economía política de Buenos Aires;1853-1350;1850-6933;1850-6933;Universidad de Buenos Aires. Facultad de Ciencias Económicas;https://www.latindex.org/latindex/ficha/14300
Revista de Economía y Estadística;2451-7321;0034-8066;0034-8066;Instituto de Economía y Finanzas, Facultad de Ciencias Económicas, Universidad Nacional de Códoba.;https://www.latindex.org/latindex/ficha/28214
Revista de educación;1853-1326;1853-1318;1853-1318;Editorial de la Universidad Nacional de Mar del Plata;https://www.latindex.org/latindex/ficha/14316
Revista de educación en biología;2344-9225;0329-5192;0329-5192;Asociación de Docentes en Ciencias Biológicas de la Argentina;https://www.latindex.org/latindex/ficha/14321
Revista de educación matemática.;1852-2890;;0326-8780;Universidad Nacional de Córdoba. Facultad de Matemática, Astronomía, Física y Computación.;https://www.latindex.org/latindex/ficha/25742
Revista de enseñanza de la física;2250-6101;0326-7091;0326-7091;Asociación de Profesores de Física de la Argentina.;https://www.latindex.org/latindex/ficha/14350
